seller_level,buying_review_rating,count,seller_country,seller_name,is_fiverr_choice,pos,buying_review_rating_count,is_pro,price_i,isPro,score
LEVEL_TWO,5,273,BD,mizanoorr,False,687,372,,20,False,5
LEVEL_TRS,4.9,243,IN,ajayceo1985,False,688,526,,280,False,4.9
LEVEL_TWO,4.9,154,PK,ammara_1996,False,689,193,,35,False,4.9
LEVEL_TWO,4.8,191,BD,wp_winner,False,690,294,,75,False,4.8
LEVEL_TWO,5,61,BD,mdkalam456,False,691,67,,50,False,5
LEVEL_TWO,5,275,PK,zohaibafzall,False,692,356,,20,False,5
LEVEL_TWO,5,66,IN,ajesh05,False,693,71,,20,False,5
LEVEL_TWO,5,57,UA,oliynykdm,False,694,84,,50,True,5
LEVEL_TRS,4.9,74,US,davidols,False,695,105,,1295,True,4.9
LEVEL_TWO,4.9,88,PK,hamza_230,False,696,108,,80,False,4.9
LEVEL_TRS,5,289,PK,yasirz3325,False,697,366,,30,False,5
LEVEL_TWO,5,211,PK,mian_asif_fahim,False,698,234,,10,False,5
LEVEL_TWO,5,49,BY,themico,False,699,65,,25,False,5
LEVEL_TWO,4.7,88,PK,sonia_s0hail,False,700,111,,10,False,4.7
LEVEL_TRS,5,809,PK,amirkhan1996,False,701,1260,,50,False,5
LEVEL_TWO,4.9,1337,GB,jamedeveloper,False,702,2222,,25,False,4.9
LEVEL_TWO,5,195,IN,sandra_wiliamz,False,703,262,,80,False,5
LEVEL_TWO,4.9,106,PK,sufidigitals,False,704,133,,10,False,4.9
LEVEL_TWO,4.9,392,PK,salmanweb89,False,705,751,,5,False,4.9
LEVEL_TWO,4.9,331,BD,fxruhanahmed,False,706,423,,20,False,4.9
LEVEL_TRS,4.9,1721,PK,moiz54,False,707,2340,,130,False,4.9
LEVEL_TWO,5,86,BD,creator_arafat,False,708,100,,30,False,5
LEVEL_TWO,4.9,160,PK,hasnain165,False,709,286,,25,False,4.9
LEVEL_TWO,5,973,BD,rafidev,False,710,1208,,20,False,5
LEVEL_TWO,4.9,54,GR,es_aldo,False,711,66,,15,False,4.9
LEVEL_TRS,4.8,639,PK,faizanq,False,712,783,,30,False,4.8
LEVEL_TWO,5,123,BD,sy_shahadot,False,713,168,,90,False,5
LEVEL_TWO,5,290,BD,monirwcoder,False,714,349,,60,False,5
LEVEL_TWO,5,344,PK,sajjadzia,False,715,478,,30,False,5
LEVEL_TWO,5,590,PK,umair_aly28,False,716,800,,20,False,5
LEVEL_TWO,5,1607,IN,studio_dev,False,717,2021,,5,False,5
LEVEL_TWO,5,4,IN,rajkal,False,718,6,,125,False,5
LEVEL_TWO,5,269,BD,prosen_224,False,719,304,,20,False,5
LEVEL_TWO,4.9,130,BD,rh_rakibul,False,720,142,,15,False,4.9
LEVEL_TRS,4.9,115,BD,aarrohan,False,721,152,,25,False,4.9
LEVEL_TWO,5,30,PK,medipixel,False,722,31,,80,False,5
LEVEL_TWO,5,1193,BD,sohelbd56,False,723,1510,,15,False,5
LEVEL_TRS,5,2,BD,app_cake,False,724,3,,250,False,5
LEVEL_TWO,5,429,PK,codemetrix,False,725,539,,30,False,5
LEVEL_TWO,4.5,54,BD,limon45387,False,726,84,,20,False,4.5
LEVEL_TWO,4.9,796,IN,anupforshopify,False,727,1083,,100,False,4.9
LEVEL_TWO,5,216,BD,developershamil,False,728,266,,20,False,5
LEVEL_TWO,4.9,69,PK,ashley_smith909,False,729,99,,80,False,4.9
LEVEL_TWO,4.9,265,PK,mian_soft007,False,730,314,,30,False,4.9
LEVEL_TWO,4.9,132,PK,asif4548,False,731,234,,20,False,4.9
LEVEL_TWO,5,120,BD,coderboy77,False,732,153,,30,False,5
LEVEL_TWO,4.8,324,PK,shopifyqueen77,False,733,463,,20,False,4.8
LEVEL_TRS,5,788,US,boomlandjenkins,False,734,1238,,35,True,5
LEVEL_TWO,5,7,PK,iamjacksparrow,False,735,14,,25,False,5
LEVEL_TWO,4.9,797,AU,aliyaruman,False,736,1265,,35,False,4.9
LEVEL_TWO,4.9,234,BD,aidenmax,False,737,327,,25,False,4.9
LEVEL_TWO,4.9,135,BD,dev_sohel,False,738,148,,15,False,4.9
LEVEL_TWO,5,222,IN,bicoder_shopify,False,739,358,,30,False,5
LEVEL_TWO,4.8,46,PK,websolution5,False,740,60,,60,False,4.8
LEVEL_TWO,4.9,113,PK,sham383,False,741,159,,10,False,4.9
LEVEL_TRS,5,3026,PK,zeeshanx,False,742,4256,,35,False,5
LEVEL_TWO,5,336,PK,xpertfaisal,False,743,398,,20,False,5
LEVEL_TWO,4.9,68,PK,hassanjaved001,False,744,112,,30,False,4.9
LEVEL_TWO,5,51,BD,shorov1999,False,745,78,,35,False,5
LEVEL_TWO,5,46,PK,faizan_rajputt,False,746,47,,35,False,5
LEVEL_TWO,5,48,PK,jassimnaeem,False,747,70,,20,False,5
LEVEL_TWO,4.8,211,IN,snipper1212,False,748,245,,65,False,4.8
LEVEL_TWO,4.8,28,PK,haseebrehman155,False,749,46,,60,False,4.8
LEVEL_TRS,4.9,645,BG,george_nik,False,750,833,,1310,True,4.9
LEVEL_TWO,5,76,PK,sairaiqbal919,False,751,135,,100,False,5
LEVEL_TWO,4.9,69,PK,nabeel_ahmed370,False,752,86,,10,False,4.9
LEVEL_TWO,5,105,IN,amitjaryal0302,False,753,129,,5,False,5
LEVEL_TWO,4.9,137,PK,shezarajput81,False,754,200,,20,False,4.9
LEVEL_TWO,5,193,BD,wyarej,False,755,298,,10,False,5
LEVEL_TWO,4.9,133,PK,designbyexpert,False,756,166,,20,False,4.9
LEVEL_TWO,4.9,391,PK,usofti,False,757,497,,15,False,4.9
LEVEL_TWO,4.9,149,IN,inderservices,False,758,187,,50,False,4.9
LEVEL_TWO,5,130,PK,abdullahbutt84,False,759,174,,55,False,5
LEVEL_TRS,5,279,PK,ahmadsaeed68,False,760,377,,30,True,5
LEVEL_TWO,4.9,802,PK,tehzeebkazmi,False,761,1198,,55,False,4.9
LEVEL_TRS,5,258,LK,bytegrams,False,762,344,,15,False,5
LEVEL_TWO,5,116,BD,freelancerasma,False,763,179,,30,False,5
LEVEL_TWO,4.9,25,PK,salmangfx124,False,764,29,,5,False,4.9
LEVEL_TWO,4.9,81,PK,adnan_samii,False,765,109,,30,False,4.9
LEVEL_TWO,5,19,PK,nasirali321,False,766,22,,55,False,5
LEVEL_TWO,4.7,24,PK,rabi_developer,False,767,35,,55,False,4.7
level_two_seller,4.9,47,PK,arslan_hameed13,False,768,31,False,80,,4.8974357
,5,3,IN,rohit_sofia,False,769,2,False,80,,5
level_two_seller,5,120,PK,ahsanali5252,False,770,117,False,80,,4.960606
level_two_seller,4.6,114,BD,code_chief,False,771,25,False,100,,4.633333
top_rated_seller,5,342,PK,ismail_muhammad,False,772,21,False,100,,4.979021
level_two_seller,4.8,277,PK,sarahecom00,False,773,22,False,80,,4.8489585
level_two_seller,4.9,104,IN,talishkhan2020,False,774,79,False,80,,4.945513
,5,5,PK,abdhaisam,False,775,5,False,60,,5
level_two_seller,5,24,PK,web_solution_ex,False,776,18,False,60,,4.9722223
top_rated_seller,5,163,AL,besoh93,False,777,152,True,400,,4.9911113
level_two_seller,5,441,PK,maqadasmanzoor9,False,778,78,False,85,,4.8632874
level_two_seller,5,53,PK,samashaykh,False,779,1,False,250,,4.9308176
top_rated_seller,5,378,IN,ashb1012,False,780,175,False,80,,4.995338
level_one_seller,5,55,BD,imran_ali96,False,781,33,False,90,,4.9454546
level_two_seller,5,1051,IN,skyward,False,782,30,False,150,,4.9708114
level_one_seller,4.9,11,FR,remygot,False,783,8,False,305,,4.939394
level_one_seller,4.9,17,PK,mohidnaeem41,False,784,15,False,40,,4.9411764
level_one_seller,4.9,10,BD,wp_shahdat,False,785,9,False,80,,4.9333334
level_two_seller,4.9,121,PK,fiza2020,False,786,107,False,50,,4.9492755
level_two_seller,5,29,PK,saqib_rehman,False,787,15,False,50,,4.781609
level_two_seller,4.9,65,TR,coder_tolga,False,788,45,False,80,,4.8072915
level_two_seller,5,67,BD,servicestore85,False,789,44,False,35,,4.970149
level_one_seller,5,18,PK,mosen_dev55,False,790,16,False,80,,4.9814816
level_two_seller,5,95,US,proresumecoach,False,791,41,False,95,,4.894737
level_two_seller,4.7,399,PK,hamzay_08,False,792,81,False,85,,4.8544602
level_two_seller,4.9,226,PK,malikyusuf1926,False,793,174,False,100,,4.9501
level_two_seller,4.9,110,PK,saqibishaq,False,794,91,False,100,,4.910653
level_two_seller,5,120,UA,victor_ydc,False,795,21,False,300,,4.9805555
level_two_seller,4.9,64,PK,ahmed3215,False,796,45,False,80,,4.941799
level_two_seller,5,115,PK,sajidullah789,False,797,12,False,80,,4.9326925
level_one_seller,4.8,24,NG,jameshaaland,False,798,8,False,300,,4.8194447
level_one_seller,5,12,PK,uzairansari995,False,799,2,False,15,,5
level_one_seller,5,50,BD,shaikh210,False,800,9,False,125,,4.979592
top_rated_seller,5,5369,AL,geniusgenius01,False,801,83,False,995,,4.9773965
