is_fiverr_choice,score,buying_review_rating_count,is_pro,buying_review_rating,seller_country,pos,count,seller_level,price_i,seller_name
False,4.949468,630,True,4.9,PK,525,1110,top_rated_seller,300,businessexpert7
False,4.9234695,189,False,4.9,PK,526,196,level_two_seller,80,junii007
False,4.9762964,12,False,5,PK,527,262,level_two_seller,30,m_arslankhalid
False,5,522,False,5,PK,48,388,LEVEL_TWO,50,wordpress_akg
False,5,244,False,5,LK,49,168,LEVEL_TWO,30,isuruad
False,4.8,387,False,4.8,IN,50,292,LEVEL_TWO,115,e_growthx
False,4.9,390,False,4.9,PK,51,265,LEVEL_TWO,80,developer_malik
False,5,404,False,5,PK,52,336,LEVEL_TWO,20,bilal_ali19
False,4.9,50,False,4.9,BD,53,31,LEVEL_TWO,70,appswizard_
False,4.9,120,False,4.9,PK,54,92,LEVEL_TWO,5,hashwebagency
False,4.9,688,False,4.9,PK,55,484,LEVEL_TRS,50,dynamic_website
False,5,833,False,5,BD,56,489,LEVEL_TRS,15,zubayed9850
False,4.9,176,False,4.9,PK,57,131,LEVEL_TWO,10,aleenkha
False,4.9,302,False,4.9,PK,58,238,LEVEL_TWO,40,aliahmed2u
False,5,1090,False,5,BD,59,865,LEVEL_TRS,10,developer_risad
False,4.9,24,False,4.9,BD,60,17,LEVEL_TWO,60,tasnova45
False,4.8,336,False,4.8,AE,61,206,LEVEL_TWO,55,aqsashopifyguru
False,5,106,False,5,BD,62,104,LEVEL_TWO,5,amdad7
False,4.9,116,False,4.9,BD,63,67,LEVEL_TWO,5,deloar_dev
False,5,221,False,5,BD,64,139,LEVEL_TWO,65,shopify_pos
False,5,1804,False,5,PK,65,1456,LEVEL_TWO,100,azam_mubeen
False,4.9,161,False,4.9,PK,66,124,LEVEL_TWO,80,ahmad_wd
False,4.9,322,False,4.9,PK,67,186,LEVEL_TWO,30,owennoah1
False,5,944,True,5,US,68,583,LEVEL_TRS,295,csmarketingllc
False,5,407,False,5,PK,69,337,LEVEL_TRS,75,uzzamkhalid1
False,4.9,487,False,4.9,PK,70,337,LEVEL_TRS,45,developeratbest
False,4.9,1410,False,4.9,PK,71,937,LEVEL_TRS,80,aj_websolution
False,5,116,False,5,BD,72,72,LEVEL_TWO,70,web_mastery1
False,4.9,401,False,4.9,BD,73,224,LEVEL_TRS,80,wp_monkey
False,5,182,False,5,PK,74,140,LEVEL_TWO,30,mrk_zeeshan
False,4.9,628,True,4.9,PK,75,405,LEVEL_TRS,100,themasterpeice
False,5,331,False,5,PK,76,245,LEVEL_TRS,65,kashif145
False,5,319,False,5,PK,77,262,LEVEL_TWO,30,suhaib_wpdvlper
False,5,98,False,5,BD,78,85,LEVEL_TWO,30,naimwdm
False,5,71,False,5,BD,79,67,LEVEL_TWO,10,shakline_siyam
False,4.9,171,False,4.9,BD,80,97,LEVEL_TWO,70,dev_pioneer
False,5,439,True,5,GB,81,322,LEVEL_TRS,495,irfan185
False,4.9,3489,False,4.9,IN,82,2523,LEVEL_TRS,120,stylishwebs
False,5,122,False,5,BD,83,71,LEVEL_TWO,70,woow_geeky
False,4.9,200,False,4.9,PK,84,176,LEVEL_TWO,10,arslmirza
False,5,1600,False,5,PK,85,938,LEVEL_TRS,50,fahadbutt515
False,4.9,2737,False,4.9,PK,86,1645,LEVEL_TRS,95,noorahmed007
False,5,147,False,5,BD,87,124,LEVEL_TWO,25,dev_lemon
False,4.9,196,False,4.9,PK,88,140,LEVEL_TWO,20,rehan853
False,5,336,False,5,PK,89,223,LEVEL_TWO,80,mujtabawp
False,5,1083,False,5,PK,90,764,LEVEL_TRS,40,jibran_shabir
False,5,516,False,5,PK,91,335,LEVEL_TWO,30,wordpresssp
False,4.9,30,False,4.9,IN,92,25,LEVEL_TWO,20,john_shopify
False,5,565,False,5,PK,93,461,LEVEL_TRS,80,fawadahmedsyed
False,4.9,708,False,4.9,BD,94,388,LEVEL_TWO,80,ecom_geeky
False,5,414,False,5,BD,95,307,LEVEL_TRS,100,magneticwp
False,5,147,False,5,BD,96,122,LEVEL_TWO,10,dev_somrat
False,4.9,450,True,4.9,BG,97,318,LEVEL_TRS,50,skodzhamanov
False,5,586,False,5,PK,98,469,LEVEL_TRS,100,wp_babarali
False,5,339,True,5,IN,99,228,LEVEL_TRS,240,starheadtech
False,5,68,False,5,BD,100,44,LEVEL_TWO,65,wp_frenzy
False,4.9,41,False,4.9,NG,101,26,LEVEL_TWO,20,xfunnel_pro
False,5,194,False,5,PK,102,190,LEVEL_TWO,5,umerfarooqdev1
False,5,676,False,5,PK,103,622,LEVEL_TWO,20,alimehdi242
False,4.9,2481,False,4.9,PK,104,1436,LEVEL_TRS,75,muhammadtalh851
False,5,205,False,5,PK,105,153,LEVEL_TWO,50,hira_mustafa
